Id,UserId,Created,Tags,Content,AtchType,AtchId,AtchUrl,Reaction,CmtCount
30,1,2023-09-06T22:31:29,word,Here home discussion ok camera. Indicate reduce old mention now. Me adult born whose cut star. Feel loss itself matter require those. People seat early early plant available country share. Sister animal trip beautiful other trip. Require perhaps start agent month occur.,none,0,"","{29,11,6,5,7,4}",72
14,2,2023-09-06T08:51:49,worry,Shake sea together deep card standard. Imagine economic magazine degree country pass respond window. Serve color entire week life administration. Six agree around two most weight environmental. Capital hour situation enjoy.,photo,61,"","{22,7,3,5,4,3}",58
1,4,2023-09-06T01:54:32,room-doctor,Enough machine audience final green. Often these computer situation them peace nice. Toward he baby plant beat different. Network education send act.,photo,7,"","{2,1,0,2,0,1}",10
2,4,2023-09-06T02:06:19,'',Point detail tough something politics. World total successful result start. Name once participant result tonight protect read. Way relationship moment everyone laugh money language. Remain catch technology. Occur respond all thought role. Though society difficult usually. Suddenly clear expect study energy meeting. Sometimes after animal heavy term.,photo,9,"","{13,6,0,2,4,4}",14
6,4,2023-09-06T03:44:32,senior-store,Live leg four five Congress skin guess. Large goal reflect wrong security. Traditional night hair process minute act. Remember feeling give manager. Approach see business. Possible our Mrs here. Song likely a knowledge. Compare tonight that fly.,photo,23,"","{11,1,2,1,0,3}",37
121,4,2023-09-12T13:35:43,'',Smile those color nearly practice. Point culture state area magazine religious yard. Whatever program entire difference contain investment late blood. Explain real about often recognize staff our land. Traditional though always course hold those. Race main society phone. Again be why again only role bad. Wind certainly southern then. Voice word American manager family candidate. Hand growth she almost pick air.,none,0,"","{3,0,0,0,1,0}",17
202,4,2023-09-17T08:22:13,magazine,Manager call southern exactly report maybe. Sport national change day experience. Read weight point sister phone official wrong then. Suddenly pretty into place pick. Under agreement media listen feeling old focus hope. Six far recent cost relate song. Son southern final set. Would guess exist ready author high.,none,0,"","{1,0,0,0,0,1}",1
5,5,2023-09-06T03:32:23,Democrat-television,Grow model me affect. Form product left it difference care build lead. But subject gun stage nation take. See process fight drug. Change population dog candidate dog great. Especially go so. Population here language board them phone participant.,none,0,"","{8,1,3,0,3,2}",8
20,5,2023-09-06T12:44:24,ask,Impact yeah world commercial draw enter. Already water stuff. Enough me service. Save explain speech commercial president. Six plant theory measure where there less top.,none,0,"","{10,5,2,3,6,0}",54
205,5,2023-09-17T12:32:36,'',Break represent little fear produce especially right. Live win range recently. Stand sea she huge. Military myself by would. Kid toward seven serious suggest item above.,none,0,"","{0,0,0,0,0,0}",0
3,6,2023-09-06T02:36:51,know-reach,Unit toward develop. Likely sure benefit thing though sound. Pick street it try inside list similar. Chair religious event never sell. Region perhaps father difficult create. Nice present be training. Toward development manage so development right.,none,0,"","{13,3,2,0,1,0}",72
123,7,2023-09-12T20:24:48,very-community-indicate,Training realize they dog run state. Improve purpose region hot. Provide over president crime according understand determine. Ground it arm. Class region true now. Article current music happen. Subject inside defense present. Lead after leave wonder. Tax let near under if after factor. Any population relate car.,none,0,"","{1,0,1,1,0,1}",28
24,8,2023-09-06T14:28:06,'',Head worker research environmental responsibility speak arm. Movement under option hit. Financial serve reality office deal. Dark parent husband check six plant. Fill write speech alone financial.,none,0,"","{18,6,2,2,1,1}",32
42,8,2023-09-07T15:25:54,practice-cover-three,Person tell help ever list down. Field policy let particularly. Source growth reduce financial personal national. Real after cost boy. Child animal seat prevent. Explain year forward art safe win own. Growth body draw consumer television camera. Senior per painting her rich recent skin.,photo,111,"","{11,5,6,2,1,1}",43
44,9,2023-09-07T19:58:52,certain,It event personal each staff our from parent. Strong seek town mouth local letter. Space tell important here throw her he. Fish issue myself southern wish imagine best. Able pattern story pressure impact statement. Ahead across executive arrive Congress purpose law. Finally message president. Discussion evening inside court. One fight magazine black. Often traditional girl until.,none,0,"","{4,0,1,2,0,0}",32
53,9,2023-09-08T08:44:48,sort-then-since,Soldier result world. Use course nation treat. Congress whatever usually room firm bank. Record page different half blue white. Way medical foreign past these.,photo,116,"","{3,1,2,0,2,0}",48
4,11,2023-09-06T03:01:59,onto,Material bill shake reduce choose purpose that. Owner drop wide ok debate night. Standard specific nor first citizen. Scientist little marriage wall. Rock single eye serve. Above expect reveal. Quite capital travel. Life near it system nation despite wind. Discuss word interest or. Country TV describe social who find throughout.,none,0,"","{2,1,0,1,0,0}",65
115,12,2023-09-12T04:57:40,natural-our,Full friend push music young ten. Responsibility compare professor action up candidate collection. Say candidate standard either rest. Fish history every enjoy add guy phone. Make join always yeah run. Under space after play student cut account. Mean down section network population commercial word. Without force either level stock lot. Any couple full bit exist. Subject Mrs they need action growth. Return institution leader training.,none,0,"","{1,0,1,0,1,0}",15
140,12,2023-09-13T11:27:06,must-send-do,Blue couple follow. Significant responsibility get administration class. News interesting law might town free. Group who arrive suggest.,none,0,"","{2,0,0,0,1,0}",21
8,13,2023-09-06T06:07:19,painting,Politics Mrs industry take. Spend I money. It describe new pass themselves success. Official popular hair administration. Magazine dog season. Everything manager almost environment customer car time language. Protect line management usually must home.,none,0,"","{2,0,1,0,1,1}",47
117,13,2023-09-12T08:07:53,'',Particular east start yes example. Garden reflect before yard. Health three trial enjoy myself fill long. Chance role away generation. Current garden exactly. Unit bed his attorney either. Young magazine table answer. Either computer training sing despite full woman. Article meeting send debate executive. Sure somebody increase.,none,0,"","{4,0,0,1,0,0}",15
120,13,2023-09-12T13:11:50,try,Into why sort. However company suddenly one something smile worry. Give hospital cultural sister however next carry. Sure popular issue along. Police through kind I idea day. Can security bad politics decide also improve might.,photo,136,"","{4,0,0,0,1,0}",24
196,13,2023-09-17T01:43:09,several-anything,Important state at trial onto whatever society. Sell trouble week build price. Line the one one commercial line former. Practice federal middle. Easy program everything adult. Wear write where. Audience machine red.,photo,167,"","{0,0,1,1,0,0}",2
101,14,2023-09-11T11:29:45,'',If sometimes one. Structure purpose where degree room. Once southern defense past how teach. Way art wall popular month.,none,0,"","{2,2,0,0,1,1}",49
10,15,2023-09-06T07:15:20,wrong-customer,Meet most analysis whatever place measure. Court collection the shake often leader relationship. Executive forward test may lot hospital. Live leave look. Within style amount bad song hotel little. Character out especially blood society letter change.,none,0,"","{2,1,1,1,2,1}",46
104,15,2023-09-11T14:38:48,'',Any resource something nation free. Commercial cause company you want cold. Factor return Mr return glass indeed ever. Skill mention laugh. Sound agency sell feel will. About everyone person product. Small source material whole along class people.,photo,132,"","{1,0,1,2,0,0}",19
150,15,2023-09-14T07:55:02,'',To including staff federal marriage. Thought character teacher above. Market ok change. Big cell sort boy politics develop pick. Use seven peace unit then media important. Assume pay arm out idea base. Possible pick social page art face environmental. Natural time cold decide forward.,photo,149,"","{1,2,0,1,0,0}",6
167,16,2023-09-15T05:09:07,'',High four war something. Within themselves arm hear. Require attention nation practice though want light. Ever become where determine bed radio.,none,0,"","{9,6,1,5,1,3}",26
7,17,2023-09-06T04:44:19,'',Current kitchen traditional general participant according serve. Art interview person six. Analysis talk tough myself current add health. Animal rest voice college perhaps. Eye treatment western heart professional already future. Young federal whether color large peace. Treat hope about hope attorney. Fine school call down director real marriage. Say you a government bed card.,photo,32,"","{1,3,2,1,1,0}",58
182,17,2023-09-15T22:28:19,'',Bank nothing unit water first mean. Bit return similar serious. Trial sort and true campaign his just. Environmental information throw including everyone center career. Some try enjoy western court. Often center various total wait really help official. Leg agent heart our nice. Wait student hair range word tree door their. Force think these degree what among rich.,photo,159,"","{3,1,0,0,0,0}",12
107,18,2023-09-11T16:39:31,really-boy-arm,Describe create than upon hour use edge alone. Apply so shoulder quality seat movie. Charge indeed money among consumer hot. Need choose sit million perhaps. Outside senior call her however senior. Offer paper defense name follow recognize small put. Less single leader himself around much money one. Total maintain four. But yard so check administration speech.,none,0,"","{3,1,0,2,0,0}",31
88,19,2023-09-10T21:29:33,someone-politics,Of social garden behind voice. Hundred kitchen them new property. Along natural blue financial thought town. Inside heavy television least interview. Simple bad teach wide tree particularly enough. Certainly activity fast between evening decision each. Loss raise develop bring world happen without production. Serve him big standard.,none,0,"","{0,2,0,0,0,0}",19
111,19,2023-09-11T20:03:48,Congress-stay-sound,Station do air effect. Lawyer budget movie. Indeed deep early. Management late provide time. Organization form between wear debate debate. Push me street method. Me choice body four. Energy owner beat. Old wind left learn join huge. Read build public book clear.,none,0,"","{2,0,0,0,0,0}",22
197,19,2023-09-17T01:44:25,religious-often-care,Guy imagine brother prove head follow. Recognize goal question act positive. Senior season military soldier light year. Series remain couple mouth before agent. Western staff fill talk ago piece top. If may including study behavior certain value capital. Article like somebody each case work send partner.,photo,168,"","{1,0,0,0,0,0}",1
17,20,2023-09-06T11:00:04,'',Magazine road computer idea huge. Available foreign change remain your until note. Practice agreement detail arm election along. His indicate more either offer. Particular either owner laugh create. Buy easy computer blue return including listen. Friend step sport yet nation his gun. Sit seek early question wear right ever professional. Serious lot between very board then. Government man long most opportunity PM also.,none,0,"","{11,3,1,2,3,1}",74
185,20,2023-09-16T05:54:18,continue-vote-type,Night begin high benefit hair season. Tough order ever recognize control. Receive beyond letter behind not. To budget computer recent. True risk keep attack marriage throughout wear.,photo,162,"","{4,0,1,0,0,0}",8
59,21,2023-09-08T19:41:35,'',Break side remember west identify democratic. Certainly generation smile set cell available everyone. Most however per suffer total. Become word serious of. Say course plan rate leg Mrs. Business gas beyond in guess they send.,photo,118,"","{4,4,0,1,2,0}",13
65,21,2023-09-09T04:20:36,character-care-same,Woman community win send any. Area the because hear. Although young prevent amount person water. Skin data reach often few probably plan various. Member little ask agreement interest. Assume way its. Plan huge word strategy something. Move wide international chance.,none,0,"","{4,2,0,1,1,1}",11
86,21,2023-09-10T18:22:21,performance-shoulder-would,Onto how single meet. Rule recent reveal west remain. Five film do reach own something recent without. Draw very analysis her street. Right possible gas development car experience late. Agency against young agree. Note war national especially everything answer.,none,0,"","{1,0,0,0,1,0}",17
103,21,2023-09-11T14:35:15,rather,Beyond late worker report magazine tend today assume. Indicate pretty born report set political. Easy ago market marriage away employee. Water report ask. Free else religious herself item. Career picture near down all focus more. Eight miss bad view. Win evidence early amount expect. Star yeah from.,none,0,"","{0,0,0,2,0,0}",14
49,22,2023-09-08T04:07:23,'',Party number from level. Class admit already culture middle child since after. Action on explain try. Report rule true camera. Specific customer citizen sit low. Sing generation hot job city. Might bar foreign defense. Quite mention modern course. Thing she gun theory knowledge enter age air. Thing relate above century bank he while serious.,photo,114,"","{4,2,1,0,0,0}",36
131,22,2023-09-13T06:07:27,'',Method concern as four body. Level information too clearly move down country. Ever customer change agent. Box look recent pass development wall. Since identify up analysis. Strategy your stay affect. Sister everyone dark bit student news our. Public fish once contain research before piece two. Meeting market north those fly present. Drop life beat Democrat listen. Important look phone fast kitchen door staff.,none,0,"","{2,0,0,0,0,1}",7
133,22,2023-09-13T07:42:27,'',Sport might who one name. Image sometimes catch scientist cover study respond. Question have include current any. Dog move only week organization. Worry although building remain assume difficult benefit. Month indeed player. Professional site surface science move I late.,none,0,"","{0,1,0,1,1,1}",16
13,23,2023-09-06T08:50:52,'',Might song similar staff wife very. Argue middle have certainly several impact. Wife black claim traditional happy thank. Exist news light your standard. Popular economy report car discover film. Bit man detail hear health and. Another plan always magazine two value can.,none,0,"","{6,5,2,1,0,1}",60
180,23,2023-09-15T19:06:26,about-again,Though weight goal. Perhaps low daughter place. Talk main by their. Them father down very.,photo,158,"","{3,0,0,0,0,0}",8
47,25,2023-09-08T00:40:04,soon-course,Night bit than service. Community mention unit force area ahead. Dinner coach fund natural left four treatment. Figure decision watch executive. Least vote heavy student. Allow book though simply.,none,0,"","{18,10,5,3,7,6}",56
160,25,2023-09-15T00:47:38,'',Discussion take air prove TV blue. State recognize always play team one record. Gas specific message simple natural. Adult sort again site southern section industry. Show dinner sea religious know son suddenly little. Identify either ask house beat war space. Study full movement night move third still film. Call choose think large picture. Art trip security cold discover make.,photo,150,"","{2,0,0,0,1,0}",6
193,25,2023-09-16T18:25:35,detail-eight-ask,Believe family painting and. Already necessary check will. At its laugh service. Poor wonder the raise leader trip general. Exactly purpose international success feeling project Democrat. Scientist down after dog when.,none,0,"","{1,0,0,0,0,0}",2
194,25,2023-09-16T20:12:08,'',Local deal dream rise of shoulder involve. Travel run federal ahead over talk. Just plant area. Hold much should debate foreign probably important away. Majority black bag agreement example story she.,none,0,"","{1,1,0,0,0,0}",5
15,26,2023-09-06T09:38:04,avoid-goal-apply,Firm store change information ground. Six magazine serve stock none yes. Expert interview hotel message sing majority. How drop gas teach whatever wife success. Bag treat close morning democratic quite town PM. Reality city suffer yourself start.,none,0,"","{3,2,0,2,0,1}",40
102,26,2023-09-11T12:28:51,our-player,Free least center remain law. A no sort. Away indicate population people open wait success spend. Interesting far data experience figure. Citizen it city happy modern.,none,0,"","{1,1,0,1,0,0}",22
161,26,2023-09-15T00:59:54,role-these,Speech concern debate investment capital federal this. Action modern central force. Room thing color area east issue. Live answer debate be cell sea. President thus cup international. Like religious civil determine reach floor age do. Environment remain treatment ability most. At others figure short theory support difficult.,none,0,"","{1,1,0,0,0,1}",11
51,27,2023-09-08T05:28:31,call,Upon try these. Professional catch American even. Prove high indicate indicate animal action group. Leader job situation ground effort. Good hair look commercial keep clear position. Could nearly street miss test young prepare. Group son cover herself along according participant.,none,0,"","{10,1,1,1,1,1}",33
67,27,2023-09-09T08:47:32,could,Fall control hit ability make. Official particular law meeting shake least. Window say commercial manager. Management organization road son fire like. Live radio Mrs.,photo,121,"","{2,0,0,1,0,0}",26
75,28,2023-09-09T23:35:00,'',Easy trip city final degree. Leader behind pretty rise play might. Spring hard peace if land. We surface agency word include home each. Remain often bill alone tend letter seem. Pay usually store small style sort.,none,0,"","{2,0,0,0,0,1}",24
112,28,2023-09-11T23:27:57,second-community-scene,Wall hour official role cover discover customer see. Onto coach wonder quickly else close none. Interest clear prevent simply. Report sea reveal court see. Stop skill so ready. Various building model east. Second central loss involve bill law.,none,0,"","{3,0,0,0,0,0}",18
127,28,2023-09-13T03:35:42,'',Really every compare parent. Very data find include. Eye show security can yard. Recently wear trip. Write word no sing color until firm. Base success structure on order Mr cell. Step suffer compare place boy during. Suddenly after also score.,none,0,"","{1,0,0,0,1,1}",14
172,29,2023-09-15T09:46:27,finally-team,White same campaign first choice trip station. Summer direction set throw sense. Kind Democrat anyone key rather family husband not. Professional once little surface far new. Address wide shake local range. Anyone everyone teach citizen. Fast choice mind Mrs rate day. Yourself nice history who on. Offer us mouth long whether.,photo,154,"","{2,1,0,1,1,0}",9
9,30,2023-09-06T06:13:04,treatment-customer,Late behavior ready body. Skin teach white under. Between husband interview score make. Fish where from station sister hit. Hair lose develop today. Already mission team prepare. Institution occur nice science personal sound now these. Recent spend new dinner sense reach. Among allow different yes movement court.,none,0,"","{6,2,0,0,2,0}",14
11,30,2023-09-06T08:03:55,environment,Day decide suddenly none parent discover ready economic. Ten five move job front occur simple. Role section site past dream. Movie wonder everyone short adult. Read conference pull city ability. Actually more first yourself tell determine necessary. Crime organization food. At direction fill pick they month present.,none,0,"","{11,4,3,2,4,1}",31
78,30,2023-09-10T00:47:01,hold-bring-safe,Oil interesting food field. Choice leave writer star least choose. Generation fight cell unit. Forward billion indeed candidate Mrs. Tax wide production energy ability action. Career think foot ask idea. Fall office sport room success start front. Set establish hard wind can. From cost phone.,none,0,"","{3,1,0,1,0,0}",21
177,30,2023-09-15T18:29:45,wonder-way,Up marriage enter organization here add that certain. Choose big care short put ever Mrs fish. Relationship career partner name. Life good plant these member. Together it condition during movie father very. Relate have size answer see attention.,none,0,"","{2,0,1,0,0,0}",5
192,31,2023-09-16T16:50:23,report-suggest,Market claim special western mind learn. Later place run few identify. Name and station. Pattern money lawyer ask or white marriage. Collection under seem business by determine popular. Work behind inside. Character game information education. Bill hundred letter law positive. Can president each quickly. School do read power watch with.,photo,165,"","{1,0,0,0,1,0}",3
173,32,2023-09-15T11:01:07,walk-especially,Major today kid. Today same continue song letter serious keep write. During minute again best because. Worker official cup success health hand politics will. Good else speech appear you reason may. Black toward evidence at risk. Sure card issue fine project simply. From history skill suffer off.,photo,155,"","{2,2,0,0,1,0}",12
60,33,2023-09-08T20:02:34,your-drug-center,Because ahead style figure field deep. Claim public no purpose gun responsibility. Language mission outside idea certain heavy piece trial. Rise young stock eye. Amount value then sport since various along. Whole quite when easy. Society something material truth. Compare pass any half like.,none,0,"","{2,1,0,0,0,0}",28
96,33,2023-09-11T06:41:42,different,East adult fight report animal boy computer. She into political cup song sister them keep. Now especially instead part. Reach continue matter evening ask. Work area find. Research include example or shake focus. Maybe sense find seek. Reason old itself Congress garden music economic final. Business who wear real.,none,0,"","{3,0,0,0,0,0}",12
97,33,2023-09-11T07:02:16,'',Kitchen board effort best. Your culture police. Enough positive ability land kid how. Population work follow. Travel magazine piece exactly defense.,photo,129,"","{1,1,0,0,0,1}",31
62,34,2023-09-08T21:53:53,'',Ever chair action nice above call church. Relate country whole play together. Environment create apply strategy think. Hotel bill source interview whatever. Argue prove firm else join range blood. Prevent many ahead. Mother account important amount. Wrong mission strong. Simply pick today pattern fish look. Fall interesting west may open.,none,0,"","{7,2,2,1,3,2}",17
100,34,2023-09-11T11:15:29,husband-end-financial,Wear too name pick Republican. Hour beyond yard great. Yes pattern able. Film drop point collection test discussion. Something want wall region image product relate. Final thought professional fund character account.,photo,131,"","{1,2,2,0,0,1}",25
136,34,2023-09-13T09:04:05,newspaper,Beautiful talk control thank grow skin source. Hit skin so. Build blood moment hope determine visit deal. Imagine thing responsibility movement be late sister. Bring benefit hit respond happen sign red. Near high newspaper image low hospital industry husband.,none,0,"","{2,0,0,3,1,0}",14
105,35,2023-09-11T15:20:22,inside,City control color follow work pull. Majority here media me. Rise music window sometimes south wind imagine find. Organization star Republican daughter region not. Important continue record. Concern throw activity team garden.,none,0,"","{1,0,0,0,0,1}",36
145,36,2023-09-13T21:47:27,'',Process take subject age. Operation arm city ask. Activity win myself themselves. Government once appear first particularly current dinner son. Kind figure technology executive. Clearly exactly religious. Crime care general down whatever. Face window rest billion. Consider prepare future administration nice. Fall threat ready why player idea individual.,none,0,"","{2,0,0,0,0,1}",33
138,38,2023-09-13T10:54:53,'',Day edge person sound or hard. Hour similar kitchen explain real where. Part sure ten later. Safe kitchen owner east read. Result Congress hope money. There try worry analysis college and floor among. Friend program necessary street. Onto strategy answer tree sort.,photo,143,"","{2,2,0,0,0,0}",19
184,38,2023-09-16T01:10:28,'',Stand thousand hand must. Audience face writer radio billion carry public region. My entire world something commercial who drop. Increase art hot now sort. His especially protect military attention talk figure. Huge daughter security test science everybody believe. Research blue range purpose indicate finally. Single around figure defense writer range section.,photo,161,"","{3,1,0,0,0,1}",9
12,39,2023-09-06T08:18:39,'',Talk performance senior find send whether door. Finally case forget question could. Born health seem want somebody gas short describe. Family need full six son east. Interest single very hit third stop carry. Sing two fear machine response. Ready would possible animal between. Bar rest wall. Ten around same sure moment society. Child wall exist perform name prove house future.,none,0,"","{14,4,2,0,3,1}",77
21,40,2023-09-06T13:33:01,deep,Speech better shake thing. Much although paper if call. Time put get give source Democrat garden. My half big own. Sister support guess of benefit fall thus hit. Sense power accept each goal career human. Letter sometimes require agree human.,none,0,"","{11,5,5,0,1,3}",43
93,40,2023-09-11T05:25:23,record,Least live drug rule sing. Second shoulder air reason long. Professor piece high in four it. Under lot born him police tend. Response young million drug five trouble ever. Anything bed brother. Care force successful once of forward various. Ok mother statement firm. Per assume dream public character southern. Affect decision group myself mean.,none,0,"","{2,0,0,0,0,1}",17
165,40,2023-09-15T02:00:15,'',Success picture a unit set economic. Management might very brother. Only like wide family. Specific agreement bed cold. Do ever sometimes tax cup item politics top.,none,0,"","{2,0,0,1,0,0}",8
22,41,2023-09-06T13:48:53,should-will,Sense much collection fight likely. Money amount challenge fear all it. Certainly near baby statement. Cut student agreement window election energy. Senior its ability participant get age. Political must speech soldier good. Model someone early own. Result fine collection store.,none,0,"","{15,5,3,3,3,3}",86
18,42,2023-09-06T11:19:26,'',Oil away continue top late lot. City address real recognize court lot. Character some identify product stay father. Almost certainly most case. Think culture blue institution institution offer. Particularly agency enough agreement. Rather woman money this ability. Street improve establish their painting drug class accept. Century game because tough. Fact south street interest nature.,photo,80,"","{9,3,1,0,0,3}",34
46,42,2023-09-07T23:39:22,recognize-firm,Mind prevent same including trial cause I ahead. Support sea rest order news. Court then enough cultural different. Memory think themselves state cut quickly leave. Treatment argue air state. Car remember contain property important task. Participant pick husband industry doctor half. Officer meet deep difficult. Reflect run the fire clearly beat leave small.,none,0,"","{3,1,0,0,0,2}",55
31,43,2023-09-06T23:52:41,'',Against drive particular coach down yourself magazine star. Up official local election teach often give. Guess newspaper night security town opportunity. Team mission could plant almost. Chance plan surface fear size dog. Theory Mrs seem person. Agreement save plant recently she attack. We court agree like morning.,none,0,"","{12,4,2,0,0,1}",71
163,43,2023-09-15T01:44:52,blue-ever-name,Me bit green join. Those stock onto me way. Foot type remain able service study pick. Then table two talk. Various home character partner.,none,0,"","{0,0,0,1,0,0}",12
188,43,2023-09-16T09:29:59,process-former,Somebody job which husband great real. Heart sister poor lot range situation increase. Physical pull official. Know someone billion employee.,none,0,"","{0,0,0,1,0,0}",4
159,44,2023-09-15T00:24:54,any-choice-represent,Rest guy yes down free strong front. Election address different only lay arm reduce. Food paper century half. How hand ground. Same put hand concern conference piece no. Plant ground toward institution happen education professional. Bill military general realize than long. Write small for look want. Game notice responsibility leg think tonight president.,none,0,"","{1,1,0,1,2,0}",16
98,45,2023-09-11T09:05:26,upon-travel,Simple rate appear technology consumer throw expert father. Prepare above suffer company resource continue. Blood police will method world home. Picture admit save us down enough laugh water. Suddenly rather second enjoy.,none,0,"","{1,2,0,1,1,0}",9
113,45,2023-09-12T03:14:45,generation-stage-not,Of cultural boy watch. Sport prove policy interview. Type seat administration type major summer. Democratic simple until amount table hope. Hundred everybody day look hope pull since word. Nor economy health court site get.,none,0,"","{5,1,0,1,0,1}",8
126,45,2023-09-13T02:50:01,yourself-stock-population,Program resource off trip possible recognize avoid. Behavior treat everyone knowledge suggest space. Fact subject third include. Whole fall group foreign. Price experience vote left yes management energy. Instead network these shoulder investment. And red include radio. Both purpose scene. People court book better sport ahead.,none,0,"","{1,0,1,0,1,1}",5
128,45,2023-09-13T03:41:39,'',Discussion growth glass meet. Rest fund hold technology game open. Offer contain young street on. Where ten as never. Building doctor decision enjoy issue. Seek significant future six growth return. Eight throughout store ground. Pass resource natural law. Son old cold institution miss quite. Style enjoy natural not religious student.,none,0,"","{4,2,1,0,0,0}",11
144,45,2023-09-13T20:41:01,base,Fall hair our single. Go yeah professional collection. Ask forward call local eat institution. Nearly always detail visit nearly quality something everyone. Here idea you money raise.,photo,145,"","{2,1,2,0,0,1}",13
89,46,2023-09-10T21:56:25,live-public,Still speech find decide understand. Resource condition Mrs reason majority myself. Improve sound issue blue understand area. Picture chance run need. Affect issue watch scientist partner. Meet wonder blood allow magazine take blue. Personal may program would son beautiful. Ready through plant participant notice relationship economic. International white economic century. Guy order first loss ahead recently project section. On try already myself.,none,0,"","{3,1,0,1,0,0}",43
157,46,2023-09-14T19:35:03,catch-center-important,Exist society trouble more majority miss adult. Send air seek enter. Goal hospital ok usually best movie computer. Prove everybody detail enough environment modern or decide. Unit fall job. Include cover research.,none,0,"","{0,2,1,0,1,1}",9
198,46,2023-09-17T04:31:36,hospital,Author item five age property everyone. Once guy book region result recognize. Management miss energy law certainly pull style. Moment professional thing in back. Possible probably share camera body. Something prove well class skin successful. Stand form grow. Respond office impact new military including animal. Member just place itself only nature want they.,none,0,"","{2,1,0,0,0,0}",2
19,47,2023-09-06T11:29:58,data-attack-area,Before race administration however surface what main he. Conference hundred ready eight during capital open. Fly understand tough different per rule hospital. Recognize whether world best Mr no. Always property culture rise act job detail maybe. Newspaper for pretty direction offer natural focus. Up range operation prevent decade. Too lay analysis serve rather seek talk. Entire mission understand represent. Last doctor seven couple available.,photo,82,"","{9,3,1,1,4,2}",70
106,48,2023-09-11T16:00:05,body,Provide cause dinner sea. Hope debate stock walk. Forget poor recently standard help ten. Attack property do sign gun. Offer agency control follow however knowledge. Ok right expert defense parent provide. Better night safe. Administration agent a teacher fill generation.,none,0,"","{1,2,0,0,0,0}",19
132,48,2023-09-13T06:44:32,at-during-collection,Something during education nature leader. They use author girl front them usually. Development bring protect peace again candidate. Kind rich which on. Decision attention most thousand main despite. If central magazine seven develop return. Daughter present letter yeah party suddenly manager. Everyone through light daughter. Catch never yard somebody.,none,0,"","{2,1,0,0,0,0}",9
152,48,2023-09-14T09:33:31,'',Agency where put she voice drive traditional. Require kind difficult save stuff use. Include method morning. Change interest their drug choose continue. Thought generation million crime including rich. Majority present effect risk daughter. Democratic plant thing someone imagine believe scene. Nearly reason high trial all nearly example. Space music run certain design. Southern set in after.,none,0,"","{1,1,1,0,0,0}",10
81,50,2023-09-10T08:25:42,skin-protect,Man to reduce suffer threat white the. Building radio a prepare national. Think school before leave Republican job newspaper. First significant sort man also whose. Late bring bill analysis apply. Draw water color firm. Say like news hundred there. Smile street data conference around group able simple. Executive hold me list. Customer low run every.,none,0,"","{3,1,0,0,0,1}",39
154,50,2023-09-14T11:59:47,'',Its speech else account land. Free area explain customer. Form course other student. Get million figure. Nearly wide herself whatever course. Never try very the. Dark second message.,none,0,"","{3,1,0,0,0,0}",11
186,50,2023-09-16T07:24:50,season,Owner arm event operation few character buy focus. Now these to approach certainly happy. Least support later travel time. Require career value give rich final source. Consumer future along of open letter discussion. Draw throw week much fall itself process. Only capital grow. Explain their language international wrong.,photo,163,"","{4,0,0,0,0,0}",6
57,51,2023-09-08T14:21:39,forget-federal-war,Issue number thousand study for. Television place party truth source. Laugh value its teach someone Democrat sure. Statement detail TV development. Result year specific peace focus student commercial. Reflect voice program rich my wait. Young music pick call training soldier focus box. Lawyer may approach by realize rate woman. Pressure attack push fight.,none,0,"","{5,1,0,0,0,1}",31
92,51,2023-09-11T03:21:20,mention-study,Bring common each goal follow natural. Collection more quickly often. Particularly cover even. Personal fine say Mr it young rather. Deep yard run particular door wide move wide. Establish cover chance memory.,none,0,"","{3,1,1,0,0,2}",23
164,51,2023-09-15T01:57:09,yeah,Number make relate quite federal suddenly. Challenge world American fight few listen. Key international material whatever fill choice. Smile between either specific against media free. Industry into cell not summer. Design manage west own. Anything carry control year event challenge. Race special pattern list be late this. Reach alone particularly few glass person real. Morning position again top tough.,none,0,"","{3,0,0,1,1,0}",3
